Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Tennessee,US,7/30/2020 4:35,35.7478,-86.6923,100822,1020,62129,37673,47,1476.342527,1456239,4482,1.011683958,84000047,USA,21323.79406,4.445458333
Texas,US,7/30/2020 4:35,31.0545,-97.5635,418995,6193,251346,161456,48,1445.015587,3539368,,1.478060597,84000048,USA,12206.45098,
Utah,US,7/30/2020 4:35,40.15,-111.8624,39194,292,26643,12259,49,1222.53629,518191,2324,0.745011992,84000049,USA,16163.37457,5.929479002
Vermont,US,7/30/2020 4:35,44.0459,-72.7107,1406,56,1199,151,50,225.3244849,92461,,3.982930299,84000050,USA,14817.72916,
Virgin Islands,US,7/30/2020 4:35,18.3358,-64.8963,385,8,296,81,78,358.9141216,8804,,2.077922078,850,VIR,8207.48033,
Virginia,US,7/30/2020 4:35,37.7693,-78.17,87993,2125,11650,74218,51,1030.90392,1076756,13000,2.414964827,84000051,USA,12615.00326,14.77390247
Washington,US,7/30/2020 4:35,47.4009,-121.4905,54985,1555,,53430,53,722.0718663,945234,5474,2.828044012,84000053,USA,12412.96496,9.955442393
West Virginia,US,7/30/2020 4:35,38.4912,-80.9545,6277,111,4589,1577,54,350.2502864,274127,,1.768360682,84000054,USA,15296.01087,
Wisconsin,US,7/30/2020 4:35,44.2685,-89.6165,51049,911,40416,9722,55,876.7639101,906379,4539,1.784559933,84000055,USA,15567.01201,8.891457227
Wyoming,US,7/30/2020 4:35,42.756,-107.3025,2628,26,2022,580,56,454.0750122,52012,165,0.98934551,84000056,USA,8986.814892,6.278538813
